5.444	3.139	5.367	6.981	0.981	1.923	0
5.444	3.139	5.367	2.917	3.933	1.923	1
2.917	6.574	6.196	5.444	3.139	5.367	2
2.917	3.933	1.923	2.917	6.574	6.196	3
0.488	8.162	1.923	2.917	3.933	1.923	4
2.917	6.574	6.196	0.488	8.162	1.923	5
2.917	6.574	6.196	1.52	10.874	6.196	6
2.917	6.574	6.196	6.981	5.254	8.836	7
4.825	9.571	9.536	2.917	6.574	6.196	8
4.825	9.571	9.536	7.69	13.142	11.214	9
4.825	9.571	9.536	9.242	8.365	11.214	10
4.825	9.571	9.536	6.981	5.254	8.836	11
4.825	9.571	9.536	4.032	14.331	8.836	12
4.825	9.571	9.536	1.52	10.874	6.196	13
1.52	10.874	6.196	-0.032	13.011	1.923	14
1.52	10.874	6.196	1.545	15.139	5.367	15
1.52	10.874	6.196	0.488	8.162	1.923	16
4.032	14.331	8.836	1.52	10.874	6.196	17
1.545	15.139	5.367	4.032	14.331	8.836	18
1.545	15.139	5.367	1.52	17.787	1.923	19
1.545	15.139	5.367	-0.032	13.011	1.923	20
4.032	18.603	6.196	1.545	15.139	5.367	21
1.52	17.787	1.923	4.032	18.603	6.196	22
4.791	21.405	1.923	1.52	17.787	1.923	23
4.032	18.603	6.196	4.791	21.405	1.923	24
7.69	21.261	6.196	4.032	18.603	6.196	25
7.69	21.261	6.196	9.242	23.398	1.923	26
7.69	21.261	6.196	4.791	21.405	1.923	27
11.753	19.941	8.836	7.69	21.261	6.196	28
15.817	21.261	6.196	11.753	19.941	8.836	29
14.265	23.398	1.923	15.817	21.261	6.196	30
11.753	22.555	5.367	14.265	23.398	1.923	31
15.817	21.261	6.196	11.753	22.555	5.367	32
15.817	21.261	6.196	18.715	21.405	1.923	33
16.035	17.715	9.536	15.817	21.261	6.196	34
16.035	17.715	9.536	15.817	13.142	11.214	35
16.035	17.715	9.536	11.753	16.095	11.214	36
16.035	17.715	9.536	11.753	19.941	8.836	37
16.035	17.715	9.536	19.475	14.331	8.836	38
16.035	17.715	9.536	19.475	18.603	6.196	39
19.475	18.603	6.196	21.986	17.787	1.923	40
