led	x	y	z
201	6.544	11.7136	10.542801
202	5.9709997	10.9994	10.2072
203	5.398	10.2852	9.8716
204	5.7084	9.329801	9.8716
205	6.5917997	9.0886	10.207201
206	7.4751997	8.8474	10.5428
207	8.3586	8.6062	10.8784
208	8.7898	7.7427998	10.7384
209	8.3376	7.1206	10.2628
210	7.8854	6.4983997	9.7872
211	7.4332	5.8762	9.3116
212	6.5498004	6.1174	8.976001
213	6.1186	6.9808006	9.116001
214	5.6874	7.8442	9.2560005
215	5.2562	8.707601	9.396
216	4.6664	10.523001	9.396001
217	4.5078	11.475	9.2560005
218	4.3492002	12.427	9.116
219	4.1906	13.379001	8.976001
220	3.5296	13.639601	8.308001
221	3.0272002	12.9482	7.7800007
222	2.5247998	12.2568	7.252
223	2.0224	11.565399	6.724
224	2.181	10.6133995	6.8640003
225	2.842	10.3528	7.5320005
226	3.503	10.092199	8.200001
227	4.164	9.8316	8.868
228	4.4434	8.971601	8.868
229	4.0618	8.3722	8.200001
230	3.6802	7.7728	7.532
231	3.2986	7.1734	6.864
232	3.7298002	6.3100004	6.724
233	4.5426	6.0460005	7.2520003
234	5.3554	5.782	7.7800007
235	6.1682	5.518	8.308001
236	6.6736	4.8310003	8.1422
237	6.3662	4.408	7.4484005
238	6.0587997	3.9850001	6.7546005
239	5.7514	3.5619998	6.0608
240	4.9385996	3.826	5.5328
241	4.4332	4.513	5.6986003
242	3.9277997	5.2	5.8644
243	3.4224	5.887	6.0302
244	2.6376	7.434	6.196
245	2.3582	8.294	6.196
246	2.0788	9.154	6.196
247	1.7993999	10.014	6.196
248	1.525	11.726999	6.0302
249	1.53	12.58	5.8644
250	1.535	13.433001	5.6986003
251	1.54	14.286	5.5328
252			
253			
254			
255			
256	12.2554	11.1306	11.8428
257	12.757801	10.4392	11.6856
258	13.2602005	9.747799	11.5284
259	13.762601	9.056399	11.3712
260	13.260401	8.365	11.214
261	12.255801	8.365	11.214001
262	11.2512	8.365	11.214
263	10.2466	8.365	11.214
264	9.7442	7.5994	10.8784
265	10.2464	6.8338003	10.542801
266	10.7486	6.0682	10.2072
267	11.2508	5.3026	9.8716
268	12.2554	5.3026004	9.8716
269	12.757801	6.0682	10.207201
270	13.2602005	6.8338	10.5428
271	13.762601	7.5994	10.8784
272	14.717001	7.7427998	10.7384
273	15.169001	7.1206	10.2628
274	15.621	6.4983997	9.7872
275	16.073	5.8762	9.3116
276	15.5706005	5.1106005	8.976001
277	14.6161995	4.9672003	9.116001
278	13.6618	4.8238	9.2560005
279	12.707399	4.6804004	9.396
280	7.9354	5.1106005	8.976001
281	8.8898	4.9672003	9.116001
282	9.8442	4.8238	9.2560005
283	10.7986	4.6804004	9.396
284	7.4832	4.5626	8.308001
285	7.9854	3.8712003	7.7800007
286	8.4876	3.1798	7.252
287	8.9897995	2.4884	6.724
288	9.9442	2.345	6.8640003
289	10.3964	2.8930001	7.5320005
290	10.8486	3.441	8.200001
291	11.3008	3.9890003	8.868
292	12.2052	3.9890003	8.868
293	12.6574	3.4410002	8.200001
294	13.1096	2.8930001	7.532
295	13.5618	2.345	6.864
296	14.5162	2.4884	6.724
297	15.0184	3.1798003	7.2520003
298	15.520599	3.8712	7.7800007
299	16.0228	4.5626	8.308001
300	16.832401	4.8310003	8.1422
301	17.139801	4.408	7.4484005
302	17.4472	3.9850001	6.7546005
303	17.7546	3.5619998	6.0608
304	17.2524	2.8706	5.5328
305	16.4428	2.6022	5.6986003
306	15.6332	2.3337998	5.8644
307	14.8236	2.0654	6.0302
308	10.3963995	1.797	6.196
309	11.3008	1.7970002	6.196
310	12.2052	1.797	6.196
311	13.1096	1.7969999	6.196
312	8.6824	2.0654001	6.0302
313	7.8728	2.3338	5.8644
314	7.0632	2.6022	5.6986003
315	6.2535996	2.8706	5.5328
0			
1			
2			
3			
